ZIP,LAT,LNG
53001,43.607877, -88.055245
53002,43.463948, -88.352067
53003,43.206569, -88.509682
53004,43.497835, -87.875646
53005,43.062401, -88.098804
53006,43.620098, -88.533555
53007,43.108448, -88.072232
53010,43.612528, -88.272017
53011,43.659584, -88.091389
53012,43.314732, -88.034639
53013,43.565318, -87.846917
53014,44.026076, -88.176312
53015,43.907689, -87.785999
53016,43.310240, -88.710130
53017,43.201014, -88.251366
53018,43.048165, -88.390515
53019,43.697925, -88.321723
53020,43.861777, -88.011415
53021,43.494647, -88.009318
53022,43.232179, -88.115800
53023,43.780438, -88.106670
53024,43.333530, -87.928563
53027,43.317984, -88.372522
53029,43.146603, -88.340998
53031,43.639144, -87.915628
53032,43.449585, -88.624792
53033,43.234938, -88.253996
53034,43.330168, -88.618784
53035,43.390641, -88.546919
53036,43.179661, -88.575045
53037,43.312433, -88.163146
53038,43.084329, -88.787652
53039,43.369846, -88.713347
53040,43.526965, -88.191027
53042,43.956873, -87.972329
53044,43.742514, -87.782195
53045,43.058889, -88.152520
53046,43.157247, -88.157895
53047,43.257123, -88.630120
53048,43.573790, -88.457156
53049,43.886116, -88.288605
53050,43.510549, -88.547354
53051,43.159363, -88.121527
53057,43.794652, -88.236790
53058,43.112262, -88.411475
53059,43.288567, -88.525136
53061,43.945427, -88.120654
53063,43.957651, -87.790583
53065,43.679772, -88.571625
53066,43.112853, -88.490036
53069,43.110890, -88.435005
53070,43.620430, -87.807118
53072,43.081609, -88.270816
53073,43.750854, -87.988185
53074,43.419850, -87.884515
53075,43.564515, -87.990969
53076,43.268398, -88.207066
53078,43.317703, -88.466213
53079,43.813683, -88.180169
53080,43.405793, -87.986330
53081,43.710329, -87.733076
53083,43.815995, -87.764488
53085,43.732821, -87.855577
53086,43.317652, -88.271254
53088,44.070499, -88.300913
53089,43.144615, -88.233772
53090,43.462856, -88.188952
53091,43.499624, -88.434562
53092,43.214964, -87.951218
53093,43.652874, -87.947950
53094,43.143320, -88.723069
53095,43.389630, -88.158004
53097,43.242049, -88.009823
53098,43.253742, -88.710584
53103,42.881555, -88.212849
53104,42.547457, -88.039280
53105,42.663216, -88.280346
